MemTotal:        5633888 kB
MemFree:           79364 kB
MemAvailable:    2647412 kB
Buffers:            9500 kB
Cached:          2698040 kB
SwapCached:         7392 kB
Active:          2388172 kB
Inactive:        1734116 kB
Active(anon):    1114856 kB
Inactive(anon):   374652 kB
Active(file):    1273316 kB
Inactive(file):  1359464 kB
Unevictable:       59920 kB
Mlocked:           59920 kB
SwapTotal:       2621436 kB
SwapFree:        1834588 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:       1469704 kB
Mapped:           461200 kB
Shmem:             14620 kB
KReclaimable:      88948 kB
Slab:             342312 kB
SReclaimable:      88864 kB
SUnreclaim:       253448 kB
KernelStack:       72156 kB
PageTables:       123344 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5438380 kB
Committed_AS:   151031100 kB
VmallocTotal:   263061440 kB
VmallocUsed:      118388 kB
VmallocChunk:          0 kB
CmaTotal:         303104 kB
CmaFree:           12940 kB
