MemTotal:        5633888 kB
MemFree:           71664 kB
MemAvailable:    1429008 kB
Buffers:            9332 kB
Cached:          1481944 kB
SwapCached:        18084 kB
Active:          2270488 kB
Inactive:        1775504 kB
Active(anon):    2161416 kB
Inactive(anon):   463928 kB
Active(file):     109072 kB
Inactive(file):  1311576 kB
Unevictable:       59920 kB
Mlocked:           59920 kB
SwapTotal:       2621436 kB
SwapFree:        1535924 kB
Dirty:               156 kB
Writeback:             0 kB
AnonPages:       2608684 kB
Mapped:          1169308 kB
Shmem:             10660 kB
KReclaimable:      90376 kB
Slab:             353308 kB
SReclaimable:      89964 kB
SUnreclaim:       263344 kB
KernelStack:       74544 kB
PageTables:       133508 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5438380 kB
Committed_AS:   155627404 kB
VmallocTotal:   263061440 kB
VmallocUsed:      120828 kB
VmallocChunk:          0 kB
CmaTotal:         303104 kB
CmaFree:            2644 kB
